artista;musica;pontos;pts_ganho;pts_calc;data
BTS;Run BTS;21817;21487;0.585;20260101
Taylor Swift;The Fate of Ophelia;18402;-955;1.595;20260101
HUNTR/X;Golden;18113;-73;3.038;20260101
EJAE;Golden;18113;-73;3.038;20260101
AUDREY NUNA;Golden;18113;-73;3.038;20260101
REI AMI;Golden;18113;-73;3.038;20260101
KPop Demon Hunters Cast;Golden;18113;-73;3.038;20260101
Kato;Turn the Lights Off;15139;-147;0.47;20260101
Alex Warren;Ordinary;14319;-61;4.241;20260101
ABBA;Happy New Year;14098;3228;0.693;20260101
Kate Bush;Running Up That Hill;11922;-1640;2.23;20260101
RAYE;WHERE IS MY HUSBAND;11555;-1638;1.001;20260101
Djo;End of Beginning;11259;1522;0.764;20260101
Olivia Dean;Man I Need;10239;-204;1.192;20260101
Taylor Swift;Opalite;8893;-907;0.678;20260101
Lady Gaga;Die With A Smile;7461;276;6.723;20260101
Bruno Mars;Die With A Smile;7461;276;6.723;20260101
ROSÉ;APT.;6434;-363;5.986;20260101
Bruno Mars;APT.;6434;-363;5.986;20260101
Disco Lines;No Broke Boys;5828;-1680;1.024;20260101
Tinashe;No Broke Boys;5828;-1680;1.024;20260101
Olivia Dean;So Easy;5774;-1355;0.408;20260101
David Guetta;Gone Gone Gone;5512;-672;0.547;20260101
Teddy Swims;Gone Gone Gone;5512;-672;0.547;20260101
Tones And I;Gone Gone Gone;5512;-672;0.547;20260101
Benson Boone;Beautiful Things;5489;-760;6.801;20260101
Shakira;Zoo;5432;-1007;0.202;20260101
Kyle Dixon;Stranger Things;5098;-543;0.153;20260101
Michael Stein;Stranger Things;5098;-543;0.153;20260101
Lady Gaga;Abracadabra;5070;-15;2.541;20260101
Lola Young;Messy;5034;550;3.796;20260101
Tyla;CHANEL;4686;-1634;0.194;20260101
Nick Jonas;Gut Punch;4219;4219;0.004;20260101
Chappell Roan;Pink Pony Club;4077;-582;2.418;20260101
Ed Sheeran;Sapphire;4036;-14;1.824;20260101
Coldplay;A Sky Full of Stars;4009;1245;11.185;20260101
Gracie Abrams;That’s So True;3984;-736;1.622;20260101
sombr;12 to 12;3970;-1333;0.551;20260101
Journey;Don't Stop Believin';3934;401;3.455;20260101
HAVEN.;I Run;3805;-588;0.124;20260101
Kaitlin Aragon;I Run;3805;-588;0.124;20260101
Lady Gaga;The Dead Dance;3743;-200;0.938;20260101
4 Non Blondes;What's Up;3574;1226;1.184;20260101
Neil Diamond;Sweet Caroline;3495;192;1.231;20260101
Breaking Rust;Livin’ on Borrowed Time;3456;134;0.111;20260101
Coldplay;Viva la Vida;3320;-962;6.863;20260101
sombr;back to friends;3271;-633;0.331;20260101
Teddy Swims;Lose Control;3233;-544;7.056;20260101
Layup;Who You Share It With;3197;1036;0.091;20260101
Saja Boys;Soda Pop;3083;-908;1.676;20260101
Andrew Choi;Soda Pop;3083;-908;1.676;20260101
Neckwav;Soda Pop;3083;-908;1.676;20260101
Danny Chung;Soda Pop;3083;-908;1.676;20260101
Kevin Woo;Soda Pop;3083;-908;1.676;20260101
samUIL Lee;Soda Pop;3083;-908;1.676;20260101
KPop Demon Hunters Cast;Soda Pop;3083;-908;1.676;20260101
Oimara;Wackelkontakt;3018;382;0.828;20260101
Ella Langley;Choosin' Texas;2939;-201;0.261;20260101
DJ Ötzi;Tirol;2917;350;0.061;20260101
Phil Collins;In the Air Tonight;2909;1636;1.144;20260101
Olivia Dean;Nice To Each Other;2881;740;0.334;20260101
Benson Boone;Mystical Magical;2846;-408;1.006;20260101
Alphaville;Forever Young;2731;-489;1.149;20260101
Unheilig;Wunderschön;2713;2275;0.164;20260101
Maite Kelly;Der Morgen danach;2595;639;0.122;20260101
HWASA;Good Goodbye;2576;-228;0.197;20260101
Sia;Unstoppable;2493;-363;7.247;20260101
Billie Eilish;BIRDS OF A FEATHER;2394;-776;5.566;20260101
Mariah Carey;All I Want for Christmas Is You;2382;-1420;9.003;20260101
The Goo Goo Dolls;Iris;2355;-171;1.552;20260101
ABBA;Dancing Queen;2336;1128;1.025;20260101
HUNTR/X;What It Sounds Like;2305;-207;0.94;20260101
EJAE;What It Sounds Like;2305;-207;0.94;20260101
AUDREY NUNA;What It Sounds Like;2305;-207;0.94;20260101
REI AMI;What It Sounds Like;2305;-207;0.94;20260101
KPop Demon Hunters Cast;What It Sounds Like;2305;-207;0.94;20260101
Shaboozey;A Bar Song;2287;-1041;4.532;20260101
Sia;Snowman;2247;-1067;1.646;20260101
Good Vibes Tribe 11:11;I'm Not What Happened To Me;2246;-1673;0.07;20260101
Myles Smith;Stay;2236;-630;0.189;20260101
Kenshi Yonezu;IRIS OUT;2203;113;0.207;20260101
Drake;NOKIA;2183;-265;1.639;20260101
Sonny Fodera;Think About Us;2182;-944;0.108;20260101
D.O.D;Think About Us;2182;-944;0.108;20260101
Poppy Baskcomb;Think About Us;2182;-944;0.108;20260101
Disney;Zoo;2157;-381;0.087;20260101
Shakira;Zoo;2157;-381;0.087;20260101
Zara Larsson;Lush Life;2152;124;2.142;20260101
ROSALÍA;Berghain;2146;-386;0.398;20260101
Björk;Berghain;2146;-386;0.398;20260101
Yves Tumor;Berghain;2146;-386;0.398;20260101
Michael Jackson;You Rock My World;2112;-391;0.045;20260101
Prince;Purple Rain;2079;2079;0.585;20260101
The Revolution;Purple Rain;2079;2079;0.585;20260101
Fleetwood Mac;Landslide;2077;630;0.306;20260101
Cain Walker;I Don't Care;2053;-516;0.135;20260101
Stephen Wilson Jr.;Stand By Me;2024;1829;0.123;20260101
Ben Zucker;Herz zu und durch;1997;1997;0.022;20260101
ROSALÍA;La Perla;1983;-601;0.138;20260101
Yahritza Y Su Esencia;La Perla;1983;-601;0.138;20260101
Aina The End;On The Way;1970;420;0.244;20260101
Unheilig;Geboren um zu leben;1937;1853;0.625;20260101
The Killers;Mr. Brightside;1916;-311;1.543;20260101
sombr;undressed;1827;-868;0.587;20260101
Bleu Soleil;Soleil Bleu;1761;-843;0.463;20260101
LUIZA;Soleil Bleu;1761;-843;0.463;20260101
Pink Floyd;Wish You Were Here;1761;617;0.834;20260101
CeCe Winans;Goodness of God;1757;1542;0.559;20260101
ILLIT;NOT CUTE ANYMORE;1749;-335;0.088;20260101
Chappell Roan;The Subway;1736;946;0.394;20260101
Elton John;Cold Heart;1718;862;7.915;20260101
Dua Lipa;Cold Heart;1718;862;7.915;20260101
Koji Tamaki;Fanfare;1715;177;0.118;20260101
La Oreja de Van Gogh;Todos Estamos Bailando La Misma Canción;1683;1683;0.002;20260101
Teddy Swims;The Door;1670;42;3.695;20260101
Riley Green;Worst Way;1666;1035;0.344;20260101
Europe;The Final Countdown;1665;-1175;0.487;20260101
David Bowie;"""Heroes""";1661;1603;0.072;20260101
Imagine Dragons;Believer;1637;-419;8.674;20260101
Jess Glynne;Hold My Hand;1607;1607;1.352;20260101
Mecano;Un Año Más;1594;222;0.044;20260101
nevermade;Low;1580;456;0.03;20260101
Masaharu Fukuyama;Jupiter;1578;-171;0.017;20260101
サカナクション;怪獣;1557;1557;0.049;20260101
Teddy Swims;Bad Dreams;1551;-321;3.413;20260101
Ricchi;Sarà perché ti amo;1541;-290;1.414;20260101
Poveri;Sarà perché ti amo;1541;-290;1.414;20260101
Ed Sheeran;Azizam;1539;-7;1.965;20260101
Harrison;All the Things She Said;1532;-1044;0.041;20260101
Kenshi Yonezu;JANE DOE;1525;377;0.185;20260101
Hikaru Utada;JANE DOE;1525;377;0.185;20260101
Diana Ross;Upside Down;1509;95;0.047;20260101
Ronan Keating;When You Say Nothing At All;1503;1503;0.297;20260101
East Duo;Chubina;1493;542;0.273;20260101
Mrs. GREEN APPLE;GOOD DAY;1486;269;0.105;20260101
Kyle Dixon;Kids;1485;555;0.064;20260101
Michael Stein;Kids;1485;555;0.064;20260101
KATSEYE;Gabriela;1481;378;0.24;20260101
HANA;ROSE;1468;46;0.294;20260101
Ado;Odoru Ponpokorin;1459;-62;0.005;20260101
Zach Top;I Never Lie;1455;1455;0.349;20260101
Effe Serieus;Baila de Gasolina;1455;155;0.28;20260101
Cain Walker;Don't Tread On Me;1435;143;0.229;20260101
Nicholas Britell;Succession;1435;32;0.269;20260101
Mrs. GREEN APPLE;ダーリン;1435;1435;0.018;20260101
Wham!;Last Christmas;1428;-155;4.475;20260101
Keli Holiday;Dancing2;1422;0;0.188;20260101
Kehlani;Folded;1413;-883;0.2;20260101
HANA;Blue Jeans;1407;92;0.204;20260101
JoJo165;Momente für immer;1393;331;0.003;20260101
The Verve;Bitter Sweet Symphony;1380;1105;0.902;20260101
Disturbed;The Sound of Silence;1369;-323;10.095;20260101
BTS;Run;1359;1359;0.055;20260101
Ella Langley;you look like you love me;1348;-548;0.971;20260101
Riley Green;you look like you love me;1348;-548;0.971;20260101
CHOIR VERSION;Papaoutai;1345;-102;0.005;20260101
Ronan Keating;Life Is A Rollercoaster;1341;1341;0.033;20260101
Vaundy;Tokimeki;1341;76;0.031;20260101
Michael Patrick Kelly;The One;1339;1270;0.175;20260101
GroßstadtEngel;Gute Laune;1334;-644;0.141;20260101
Heinz Rudolf Kunze;Dein ist mein ganzes Herz;1320;1320;0.079;20260101
BLACKPINK;JUMP;1316;-115;0.967;20260101
FAYAN;VERLIEBT IN MICH;1315;0;0.144;20260101
Dalton;VERLIEBT IN MICH;1315;0;0.144;20260101
back number;Want Want Want;1315;-26;0.01;20260101
坂本真綾;時計;1302;-277;0.007;20260101
Jessie J;I'LL NEVER KNOW WHY;1296;351;0.049;20260101
Miley Cyrus;End of the World;1294;246;1.33;20260101
BE:FIRST;Muchu;1290;-78;0.185;20260101
Geolier;PHANTOM;1288;-115;0.003;20260101
HUNTR/X;Golden;1286;333;0.282;20260101
EJAE;Golden;1286;333;0.282;20260101
AUDREY NUNA;Golden;1286;333;0.282;20260101
REI AMI;Golden;1286;333;0.282;20260101
KPop Demon Hunters Cast;Golden;1286;333;0.282;20260101
David Guetta;Golden;1286;333;0.282;20260101
Luke Combs;Days Like These;1281;-831;0.075;20260101
Aria Blu;God Don’t Play About Me;1265;-260;0.013;20260101
ABARZA RECABAL ERICK YORDAN;Last Call for Love;1260;814;0.002;20260101
